Mes/Año;N° Día;Fecha;Hábil/No Hábil;TIPO DIA;AUTO+GUMAs;DEMANDA DISTRIBUIDOR;TEMPERATURA MEDIA GBA °C;ALIMENTACIÓN. COMERCIOS Y SERVICIOS;INDUSTRIAS
jun-24;12;12/6/2024;Hábil;Miércoles;2293.3;14153.2;17.9;409.7;1195.5
jun-24;13;13/6/2024;Hábil;Jueves;2263.0;13439.1;23.0;416.3;1161.5
jun-24;14;14/6/2024;Hábil;Viernes;2275.9;13360.4;18.6;424.2;1163.0
jun-24;15;15/6/2024;No Hábil;Sábado;2115.3;12858.7;14.0;384.8;1051.7
jun-24;16;16/6/2024;No Hábil;Domingo;1877.0;12240.7;13.0;332.5;868.8
jun-24;17;17/6/2024;No Hábil;Lunes;1838.6;13182.8;12.8;350.5;808.1
jun-24;18;18/6/2024;Hábil;Martes;2025.1;14279.4;15.9;413.5;933.6
jun-24;19;19/6/2024;Hábil;Miércoles;2122.7;14194.1;14.4;413.5;997.2
jun-24;20;20/6/2024;No Hábil;Jueves;1925.8;13748.9;11.8;373.0;848.2
jun-24;21;21/6/2024;No Hábil;Viernes;1797.6;13416.6;15.9;354.3;782.5
jun-24;22;22/6/2024;No Hábil;Sábado;1857.8;12755.7;16.3;353.1;852.9
jun-24;23;23/6/2024;No Hábil;Domingo;1846.9;13130.8;11.5;331.2;866.3
jun-24;24;24/6/2024;Hábil;Lunes;2114.7;16386.7;7.9;401.3;1035.2
jun-24;25;25/6/2024;Hábil;Martes;2280.6;17518.0;8.4;433.1;1150.2
jun-24;26;26/6/2024;Hábil;Miércoles;2238.9;17468.2;9.4;430.4;1132.9
jun-24;27;27/6/2024;Hábil;Jueves;2222.4;16757.2;12.6;400.8;1140.0
jun-24;28;28/6/2024;Hábil;Viernes;2193.8;16956.3;9.1;379.9;1135.1
jun-24;29;29/6/2024;No Hábil;Sábado;2075.1;16835.3;5.2;381.2;1023.7
jun-24;30;30/6/2024;No Hábil;Domingo;1904.3;16043.5;7.9;340.5;878.3
jul-24;1;1/7/2024;Hábil;Lunes;2064.9;16994.0;11.5;405.1;980.4
jul-24;2;2/7/2024;Hábil;Martes;2111.1;16455.7;12.6;427.6;1001.6
jul-24;3;3/7/2024;Hábil;Miércoles;2133.7;16796.0;8.4;428.8;1024.4
jul-24;4;4/7/2024;Hábil;Jueves;2185.4;17564.7;6.5;438.9;1069.5
jul-24;5;5/7/2024;Hábil;Viernes;2202.4;18368.0;5.4;433.4;1070.3
jul-24;6;6/7/2024;No Hábil;Sábado;2081.7;17641.1;5.2;393.2;1032.4
jul-24;7;7/7/2024;No Hábil;Domingo;1951.5;16650.5;6.5;346.4;921.0
jul-24;8;8/7/2024;Hábil;Lunes;2127.1;18941.7;4.0;401.2;1033.1
jul-24;9;9/7/2024;No Hábil;Martes;2020.7;18314.1;3.3;375.9;881.5
jul-24;10;10/7/2024;Hábil;Miércoles;2191.3;20014.8;3.5;422.1;1000.4
jul-24;11;11/7/2024;Hábil;Jueves;2269.9;19900.5;5.0;427.6;1116.5
jul-24;12;12/7/2024;Hábil;Viernes;2340.2;19380.8;6.7;423.2;1151.0
jul-24;13;13/7/2024;No Hábil;Sábado;2207.7;17664.7;6.6;395.6;1075.1
jul-24;14;14/7/2024;No Hábil;Domingo;2064.4;16484.8;6.3;360.0;973.2
jul-24;15;15/7/2024;Hábil;Lunes;2273.7;18146.4;9.8;420.8;1124.4
jul-24;16;16/7/2024;Hábil;Martes;2399.0;17175.1;11.5;447.2;1229.5
jul-24;17;17/7/2024;Hábil;Miércoles;2393.6;16225.6;12.5;434.1;1223.3
jul-24;18;18/7/2024;Hábil;Jueves;2334.2;15702.0;13.3;424.3;1207.0
jul-24;19;19/7/2024;Hábil;Viernes;2308.4;16235.3;11.0;430.7;1230.1
jul-24;20;20/7/2024;No Hábil;Sábado;2153.5;16166.9;9.6;390.1;1097.3
jul-24;21;21/7/2024;No Hábil;Domingo;1972.1;14912.9;12.3;351.4;936.8
jul-24;22;22/7/2024;Hábil;Lunes;2167.0;16384.5;12.2;416.0;1069.6
jul-24;23;23/7/2024;Hábil;Martes;2239.1;16167.6;12.4;421.2;1147.0
jul-24;24;24/7/2024;Hábil;Miércoles;2273.6;15272.0;16.3;423.4;1174.8
jul-24;25;25/7/2024;Hábil;Jueves;2277.6;14848.7;14.0;435.8;1154.1
jul-24;26;26/7/2024;Hábil;Viernes;2252.7;14797.5;12.5;424.9;1140.7
jul-24;27;27/7/2024;No Hábil;Sábado;2119.6;13981.5;11.5;387.1;1054.6
jul-24;28;28/7/2024;No Hábil;Domingo;1889.6;13841.9;9.3;346.3;872.6
jul-24;29;29/7/2024;Hábil;Lunes;2144.7;16678.1;6.7;422.1;1048.2
jul-24;30;30/7/2024;Hábil;Martes;2323.5;17466.5;8.9;439.7;1208.9
jul-24;31;31/7/2024;Hábil;Miércoles;2257.7;16382.5;13.6;445.7;1126.6
ago-24;1;1/8/2024;Hábil;Jueves;2250.7;14739.7;19.2;442.8;1113.1
ago-24;2;2/8/2024;Hábil;Viernes;2292.5;13552.3;24.0;443.4;1160.7
ago-24;3;3/8/2024;No Hábil;Sábado;2047.7;12252.1;16.1;386.5;988.4
ago-24;4;4/8/2024;No Hábil;Domingo;1874.8;12387.9;12.6;353.7;851.0
ago-24;5;5/8/2024;Hábil;Lunes;2097.0;14796.6;13.6;406.2;1020.8
ago-24;6;6/8/2024;Hábil;Martes;2131.9;14850.7;16.2;375.2;1086.1
ago-24;7;7/8/2024;Hábil;Miércoles;2089.7;15734.0;10.6;347.9;1076.4
ago-24;8;8/8/2024;Hábil;Jueves;2124.8;17350.8;7.9;347.6;1106.0
ago-24;9;9/8/2024;Hábil;Viernes;2315.1;17529.1;7.1;352.1;1285.4
ago-24;10;10/8/2024;No Hábil;Sábado;2072.2;15795.0;10.4;309.0;1086.9
ago-24;11;11/8/2024;No Hábil;Domingo;1819.5;14224.3;11.4;268.6;890.8
ago-24;12;12/8/2024;Hábil;Lunes;2066.8;16536.0;7.8;347.2;1045.5
ago-24;13;13/8/2024;Hábil;Martes;2241.4;16179.5;12.0;429.8;1135.1
ago-24;14;14/8/2024;Hábil;Miércoles;2335.4;15371.3;13.3;438.9;1222.9
ago-24;15;15/8/2024;Hábil;Jueves;2321.1;14581.0;13.4;443.7;1202.0
ago-24;16;16/8/2024;Hábil;Viernes;2339.0;15348.4;9.9;440.7;1225.1
ago-24;17;17/8/2024;No Hábil;Sábado;1960.3;14058.3;12.2;379.7;912.7
ago-24;18;18/8/2024;No Hábil;Domingo;1932.1;13394.4;12.8;355.0;912.8
ago-24;19;19/8/2024;Hábil;Lunes;2172.5;15952.5;11.7;423.5;1068.5
ago-24;20;20/8/2024;Hábil;Martes;2245.4;17305.8;9.1;432.9;1124.8
ago-24;21;21/8/2024;Hábil;Miércoles;2295.7;17239.5;12.1;430.9;1168.7
ago-24;22;22/8/2024;Hábil;Jueves;2327.6;17681.8;9.2;428.2;1187.4
ago-24;23;23/8/2024;Hábil;Viernes;2221.3;17540.7;8.0;434.4;1146.6
ago-24;24;24/8/2024;No Hábil;Sábado;2093.6;16125.9;8.9;396.2;1014.4
ago-24;25;25/8/2024;No Hábil;Domingo;1936.5;15160.1;7.3;349.5;919.8
ago-24;26;26/8/2024;Hábil;Lunes;2140.5;16629.9;8.7;416.6;1045.3
ago-24;27;27/8/2024;Hábil;Martes;2286.3;15944.8;11.3;439.6;1175.3
ago-24;28;28/8/2024;Hábil;Miércoles;2311.5;15294.0;12.6;441.4;1160.1
ago-24;29;29/8/2024;Hábil;Jueves;2322.9;14766.7;13.0;439.8;1197.4
ago-24;30;30/8/2024;Hábil;Viernes;2305.0;15968.7;11.0;438.0;1184.6
ago-24;31;31/8/2024;No Hábil;Sábado;2120.5;15317.4;11.0;399.9;1040.9
sep-24;1;1/9/2024;No Hábil;Domingo;1932.3;13919.1;12.0;359.8;888.2
sep-24;2;2/9/2024;Hábil;Lunes;2174.5;14612.4;12.8;427.1;1123.7
sep-24;3;3/9/2024;Hábil;Martes;2378.7;14188.7;14.7;442.7;1259.6
sep-24;4;4/9/2024;Hábil;Miércoles;2367.9;14187.2;13.9;442.7;1253.9
sep-24;5;5/9/2024;Hábil;Jueves;2336.3;14309.1;11.6;445.5;1208.5
sep-24;6;6/9/2024;Hábil;Viernes;2366.4;13884.4;15.7;449.5;1231.6
sep-24;7;7/9/2024;No Hábil;Sábado;2034.9;12422.1;15.8;411.0;942.5
sep-24;8;8/9/2024;No Hábil;Domingo;1944.4;11544.1;15.0;359.2;907.2
sep-24;9;9/9/2024;Hábil;Lunes;2193.8;13351.5;15.4;415.8;1088.9
sep-24;10;10/9/2024;Hábil;Martes;2396.9;13664.0;16.4;432.1;1275.7
sep-24;11;11/9/2024;Hábil;Miércoles;2388.6;13750.5;14.6;444.2;1255.3
sep-24;12;12/9/2024;Hábil;Jueves;2452.9;13685.1;13.6;444.8;1314.7
sep-24;13;13/9/2024;Hábil;Viernes;2492.7;13498.3;14.5;455.6;1348.9
sep-24;14;14/9/2024;No Hábil;Sábado;2205.7;12329.3;13.1;411.0;1188.8
sep-24;15;15/9/2024;No Hábil;Domingo;1842.3;11714.9;13.9;352.5;958.1
sep-24;16;16/9/2024;Hábil;Lunes;2044.8;13037.7;17.9;422.9;1094.2
sep-24;17;17/9/2024;Hábil;Martes;2192.1;13228.2;18.4;444.1;1230.3
sep-24;18;18/9/2024;Hábil;Miércoles;2227.7;13310.4;19.9;451.5;1252.9
sep-24;19;19/9/2024;Hábil;Jueves;2223.1;13462.5;19.3;443.4;1254.5
sep-24;20;20/9/2024;Hábil;Viernes;2202.5;13282.9;16.9;442.8;1237.0
sep-24;21;21/9/2024;No Hábil;Sábado;2064.4;12331.2;19.3;398.5;1144.6
sep-24;22;22/9/2024;No Hábil;Domingo;1831.9;12086.3;18.5;354.0;967.0
sep-24;23;23/9/2024;Hábil;Lunes;2038.6;13723.1;16.0;417.3;1128.5
sep-24;24;24/9/2024;Hábil;Martes;2164.6;13715.8;16.5;437.1;1243.8
sep-24;25;25/9/2024;Hábil;Miércoles;2239.1;13499.3;16.5;448.4;1270.3
sep-24;26;26/9/2024;Hábil;Jueves;2233.8;13209.7;14.6;433.1;1274.6
sep-24;27;27/9/2024;Hábil;Viernes;2222.9;13120.8;14.8;431.9;1272.2
sep-24;28;28/9/2024;No Hábil;Sábado;2008.9;12061.4;19.0;389.3;1103.0
sep-24;29;29/9/2024;No Hábil;Domingo;1792.9;11692.2;20.9;352.4;922.8
sep-24;30;30/9/2024;Hábil;Lunes;2073.6;14280.6;22.6;420.7;1144.2
oct-24;1;1/10/2024;Hábil;Martes;2146.6;14185.0;16.5;425.8;1208.4
oct-24;2;2/10/2024;Hábil;Miércoles;2178.8;13180.7;14.4;423.2;1240.7
oct-24;3;3/10/2024;Hábil;Jueves;2169.1;13006.7;13.6;422.7;1225.6
oct-24;4;4/10/2024;Hábil;Viernes;2189.6;13036.6;16.8;429.1;1237.9
oct-24;5;5/10/2024;No Hábil;Sábado;2011.8;12334.2;19.2;388.6;1101.7
oct-24;6;6/10/2024;No Hábil;Domingo;1835.1;11896.8;18.0;347.3;961.7
oct-24;7;7/10/2024;Hábil;Lunes;2100.7;13116.4;18.4;417.2;1155.2
oct-24;8;8/10/2024;Hábil;Martes;2218.5;12914.8;16.3;436.3;1243.3
oct-24;9;9/10/2024;Hábil;Miércoles;2244.3;12763.0;16.6;436.6;1254.9
oct-24;10;10/10/2024;Hábil;Jueves;2236.1;12492.1;18.4;422.6;1275.5
oct-24;11;11/10/2024;No Hábil;Viernes;1878.2;11698.5;21.0;381.9;955.5
oct-24;12;12/10/2024;No Hábil;Sábado;1731.8;11286.2;18.3;359.4;837.9
oct-24;13;13/10/2024;No Hábil;Domingo;1767.6;11192.9;18.2;351.7;895.0
oct-24;14;14/10/2024;Hábil;Lunes;2077.1;13085.8;18.2;411.4;1150.0
oct-24;15;15/10/2024;Hábil;Martes;2161.6;13405.8;19.7;437.1;1195.6
oct-24;16;16/10/2024;Hábil;Miércoles;2173.4;13552.6;20.5;438.7;1201.7
oct-24;17;17/10/2024;Hábil;Jueves;2216.9;13643.5;19.9;426.7;1264.6
oct-24;18;18/10/2024;Hábil;Viernes;2223.8;13277.6;20.5;439.8;1268.0
oct-24;19;19/10/2024;No Hábil;Sábado;2069.2;12473.1;22.0;406.6;1150.5
oct-24;20;20/10/2024;No Hábil;Domingo;1853.2;12193.9;24.2;367.8;971.3
oct-24;21;21/10/2024;Hábil;Lunes;2080.6;16225.9;26.7;445.6;1114.0
oct-24;22;22/10/2024;Hábil;Martes;2245.9;16098.9;23.4;454.7;1268.3
oct-24;23;23/10/2024;Hábil;Miércoles;2243.0;14768.7;20.7;428.8;1290.6
oct-24;24;24/10/2024;Hábil;Jueves;2206.3;13697.6;17.4;425.4;1260.9
oct-24;25;25/10/2024;Hábil;Viernes;2208.1;13305.0;15.0;437.4;1249.7
oct-24;26;26/10/2024;No Hábil;Sábado;2027.0;11788.5;16.4;393.2;1112.0
oct-24;27;27/10/2024;No Hábil;Domingo;1823.9;11119.1;20.5;352.3;954.4
oct-24;28;28/10/2024;Hábil;Lunes;2115.6;13867.5;23.3;428.6;1176.7
oct-24;29;29/10/2024;Hábil;Martes;2222.5;15658.1;24.7;435.7;1286.0
oct-24;30;30/10/2024;Hábil;Miércoles;2217.1;16522.6;24.9;438.3;1276.1
oct-24;31;31/10/2024;Hábil;Jueves;2273.9;16333.0;23.8;445.6;1314.9
nov-24;1;1/11/2024;Hábil;Viernes;2272.7;16789.4;25.7;458.6;1298.4
nov-24;2;2/11/2024;No Hábil;Sábado;2033.1;14040.6;21.9;408.7;1105.2
nov-24;3;3/11/2024;No Hábil;Domingo;1848.1;12432.5;19.5;354.9;968.9
nov-24;4;4/11/2024;Hábil;Lunes;2183.4;14769.4;19.0;421.5;1238.0
nov-24;5;5/11/2024;Hábil;Martes;2304.7;13947.3;19.2;447.6;1325.1
nov-24;6;6/11/2024;Hábil;Miércoles;2296.3;14146.6;20.9;442.1;1320.4
nov-24;7;7/11/2024;Hábil;Jueves;2359.3;13919.2;19.4;433.6;1393.5
nov-24;8;8/11/2024;Hábil;Viernes;2388.6;13761.2;19.6;453.3;1410.7
nov-24;9;9/11/2024;No Hábil;Sábado;2194.8;13470.4;22.4;420.6;1243.2
nov-24;10;10/11/2024;No Hábil;Domingo;1971.0;13218.8;22.9;376.4;1065.5
nov-24;11;11/11/2024;Hábil;Lunes;2188.7;13410.5;17.2;422.7;1232.3
nov-24;12;12/11/2024;Hábil;Martes;2284.4;13237.8;17.2;440.8;1314.0
nov-24;13;13/11/2024;Hábil;Miércoles;2280.4;14117.0;20.8;444.7;1300.6
nov-24;14;14/11/2024;Hábil;Jueves;2297.8;15435.7;23.6;457.8;1310.4
nov-24;15;15/11/2024;Hábil;Viernes;2281.6;16734.1;25.5;469.1;1277.9
nov-24;16;16/11/2024;No Hábil;Sábado;2138.8;16301.2;26.8;426.4;1183.7
nov-24;17;17/11/2024;No Hábil;Domingo;1896.7;12764.8;17.4;362.9;1010.5
nov-24;18;18/11/2024;No Hábil;Lunes;1767.0;11975.2;18.4;367.8;875.7
nov-24;19;19/11/2024;Hábil;Martes;2064.5;13082.0;19.0;434.9;1107.3
nov-24;20;20/11/2024;Hábil;Miércoles;2224.3;13801.2;21.6;455.6;1241.9
nov-24;21;21/11/2024;Hábil;Jueves;2265.7;14152.7;21.8;459.6;1280.8
nov-24;22;22/11/2024;Hábil;Viernes;2263.6;15141.9;22.3;465.8;1268.7
nov-24;23;23/11/2024;No Hábil;Sábado;2073.8;14753.3;23.4;415.8;1130.9
nov-24;24;24/11/2024;No Hábil;Domingo;1866.2;15218.4;25.5;370.5;975.1
nov-24;25;25/11/2024;Hábil;Lunes;2142.5;16884.0;24.2;431.4;1184.0
nov-24;26;26/11/2024;Hábil;Martes;2175.7;16435.5;23.5;450.9;1197.6
nov-24;27;27/11/2024;Hábil;Miércoles;2210.3;15935.9;22.2;447.4;1236.0
nov-24;28;28/11/2024;Hábil;Jueves;2203.3;15486.0;23.0;439.0;1244.6
nov-24;29;29/11/2024;Hábil;Viernes;2204.0;15077.2;22.6;439.2;1240.3
nov-24;30;30/11/2024;No Hábil;Sábado;2024.0;13891.9;21.7;399.2;1102.8
dic-24;1;1/12/2024;No Hábil;Domingo;1878.8;12726.0;19.7;348.2;1003.3
dic-24;2;2/12/2024;Hábil;Lunes;2061.9;13155.6;17.7;398.7;1131.7
dic-24;3;3/12/2024;Hábil;Martes;2134.4;13218.5;17.0;421.4;1183.4
dic-24;4;4/12/2024;Hábil;Miércoles;2167.9;14089.7;21.5;431.1;1198.3
dic-24;5;5/12/2024;Hábil;Jueves;2158.8;15905.6;24.8;432.5;1182.9
dic-24;6;6/12/2024;Hábil;Viernes;2150.7;16010.1;22.4;439.8;1168.3
dic-24;7;7/12/2024;No Hábil;Sábado;1971.2;12905.5;16.4;379.9;1050.0
dic-24;8;8/12/2024;No Hábil;Domingo;1692.0;11246.0;17.0;334.5;822.2
dic-24;9;9/12/2024;Hábil;Lunes;2041.0;13220.9;19.5;419.3;1088.2
dic-24;10;10/12/2024;Hábil;Martes;2156.3;14936.3;23.0;454.7;1171.8
dic-24;11;11/12/2024;Hábil;Miércoles;2182.7;16224.1;24.7;456.8;1192.4
dic-24;12;12/12/2024;Hábil;Jueves;2166.9;17564.5;25.8;458.9;1177.2
dic-24;13;13/12/2024;Hábil;Viernes;2144.9;16045.1;23.4;449.0;1160.8
dic-24;14;14/12/2024;No Hábil;Sábado;2061.1;14652.0;22.4;396.6;1067.5
dic-24;15;15/12/2024;No Hábil;Domingo;1902.0;13411.5;21.4;347.5;960.7
dic-24;16;16/12/2024;Hábil;Lunes;2091.4;15451.8;20.5;423.7;1074.3
dic-24;17;17/12/2024;Hábil;Martes;2138.5;16321.2;23.1;449.1;1095.2
dic-24;18;18/12/2024;Hábil;Miércoles;2146.7;16149.8;24.5;445.3;1126.7
dic-24;19;19/12/2024;Hábil;Jueves;2034.4;16216.7;24.2;436.2;1073.7
dic-24;20;20/12/2024;Hábil;Viernes;2044.2;16598.1;24.6;443.0;1084.4
dic-24;21;21/12/2024;No Hábil;Sábado;1883.3;13927.1;19.3;388.9;983.4
dic-24;22;22/12/2024;No Hábil;Domingo;1644.1;13140.3;21.5;348.1;783.1
dic-24;23;23/12/2024;Hábil;Lunes;1840.5;15911.9;24.8;410.3;917.6
dic-24;24;24/12/2024;Hábil;Martes;1630.5;13644.3;20.7;346.7;781.8
dic-24;25;25/12/2024;No Hábil;Miércoles;1373.3;11324.2;17.8;269.2;601.6
dic-24;26;26/12/2024;Hábil;Jueves;1689.8;14020.2;20.7;384.6;780.3
dic-24;27;27/12/2024;Hábil;Viernes;1792.0;15255.5;22.1;417.9;852.7
dic-24;28;28/12/2024;No Hábil;Sábado;1704.8;14880.5;22.3;379.1;813.0
dic-24;29;29/12/2024;No Hábil;Domingo;1607.3;14160.5;22.6;337.6;754.4
dic-24;30;30/12/2024;Hábil;Lunes;1729.4;16221.1;23.8;403.4;814.7
dic-24;31;31/12/2024;Hábil;Martes;1590.1;16189.1;25.6;351.5;729.2
ene-25;1;1/1/2025;No Hábil;Miércoles;1370.2;14880.8;26.3;271.2;595.8
ene-25;2;2/1/2025;Hábil;Jueves;1662.1;17051.5;24.7;381.7;767.8
ene-25;3;3/1/2025;Hábil;Viernes;1723.2;16382.4;21.6;400.1;807.9
ene-25;4;4/1/2025;No Hábil;Sábado;1678.2;15534.3;21.1;359.6;797.7
ene-25;5;5/1/2025;No Hábil;Domingo;1588.8;14744.7;22.3;325.3;747.5
ene-25;6;6/1/2025;Hábil;Lunes;1772.8;16599.8;22.9;386.4;874.2
ene-25;7;7/1/2025;Hábil;Martes;1862.8;17260.5;24.4;412.5;945.6
ene-25;8;8/1/2025;Hábil;Miércoles;1872.4;17968.5;25.4;421.1;941.9
ene-25;9;9/1/2025;Hábil;Jueves;1883.7;17800.1;26.0;426.4;938.8
ene-25;10;10/1/2025;Hábil;Viernes;1911.6;17701.8;25.5;430.8;960.0
ene-25;11;11/1/2025;No Hábil;Sábado;1814.4;16367.8;25.1;377.9;913.0
ene-25;12;12/1/2025;No Hábil;Domingo;1666.6;15827.3;25.4;331.0;795.4
ene-25;13;13/1/2025;Hábil;Lunes;1890.2;18426.5;26.6;405.2;963.0
ene-25;14;14/1/2025;Hábil;Martes;2081.6;19288.6;27.2;429.0;1133.9
ene-25;15;15/1/2025;Hábil;Miércoles;2028.3;20352.3;28.3;445.6;1063.1
ene-25;16;16/1/2025;Hábil;Jueves;2092.1;21099.3;29.5;442.2;1130.9
ene-25;17;17/1/2025;Hábil;Viernes;2150.1;20194.1;27.2;449.1;1180.3
ene-25;18;18/1/2025;No Hábil;Sábado;1963.7;17343.6;25.0;397.8;1047.8
ene-25;19;19/1/2025;No Hábil;Domingo;1768.4;14566.2;22.5;342.7;914.3
ene-25;20;20/1/2025;Hábil;Lunes;2091.5;15429.5;22.7;416.3;1154.3
ene-25;21;21/1/2025;Hábil;Martes;2206.6;17045.9;24.2;446.6;1239.8
ene-25;22;22/1/2025;Hábil;Miércoles;2203.5;19320.4;28.2;466.3;1217.4
ene-25;23;23/1/2025;Hábil;Jueves;2264.5;20519.7;29.0;468.4;1273.8
ene-25;24;24/1/2025;Hábil;Viernes;2279.1;19497.6;27.2;452.5;1292.0
ene-25;25;25/1/2025;No Hábil;Sábado;2072.0;17289.4;26.7;410.9;1130.9
ene-25;26;26/1/2025;No Hábil;Domingo;1861.9;16468.2;27.3;363.0;959.5
ene-25;27;27/1/2025;Hábil;Lunes;2156.0;18565.0;25.9;435.1;1193.7
ene-25;28;28/1/2025;Hábil;Martes;2253.6;18084.7;25.4;454.4;1282.5
ene-25;29;29/1/2025;Hábil;Miércoles;2231.6;18330.9;25.9;467.6;1240.8
ene-25;30;30/1/2025;Hábil;Jueves;2325.1;19275.2;26.2;467.5;1311.7
ene-25;31;31/1/2025;Hábil;Viernes;2279.5;19493.5;26.1;473.2;1290.0
feb-25;1;1/2/2025;No Hábil;Sábado;2021.5;18425.3;27.2;428.1;1081.4
feb-25;2;2/2/2025;No Hábil;Domingo;1790.7;18516.6;28.5;381.6;899.1
feb-25;3;3/2/2025;Hábil;Lunes;2069.8;21757.6;30.4;442.2;1119.6
feb-25;4;4/2/2025;Hábil;Martes;2150.1;20498.9;26.5;448.2;1195.1
feb-25;5;5/2/2025;Hábil;Miércoles;2167.4;18683.3;22.8;446.4;1212.4
feb-25;6;6/2/2025;Hábil;Jueves;2283.8;18570.6;23.9;461.0;1306.6
feb-25;7;7/2/2025;Hábil;Viernes;2309.0;19745.6;26.4;463.5;1325.8
feb-25;8;8/2/2025;No Hábil;Sábado;2068.2;19809.8;27.5;425.8;1121.1
feb-25;9;9/2/2025;No Hábil;Domingo;1847.2;18170.2;24.3;371.3;960.4
feb-25;10;10/2/2025;Hábil;Lunes;2211.6;22414.3;29.3;446.9;1176.9
feb-25;11;11/2/2025;Hábil;Martes;2221.6;19522.7;22.3;441.0;1187.8
feb-25;12;12/2/2025;Hábil;Miércoles;2282.3;17326.8;22.6;445.7;1243.5
feb-25;13;13/2/2025;Hábil;Jueves;2263.8;17142.9;24.2;440.0;1234.9
feb-25;14;14/2/2025;Hábil;Viernes;2193.7;17544.5;22.8;448.1;1176.3
feb-25;15;15/2/2025;No Hábil;Sábado;2048.9;16037.2;23.7;407.6;1126.0
feb-25;16;16/2/2025;No Hábil;Domingo;1874.7;15607.9;24.9;364.6;1001.4
feb-25;17;17/2/2025;Hábil;Lunes;2071.2;17040.3;24.0;431.7;1127.6
feb-25;18;18/2/2025;Hábil;Martes;2113.9;14571.4;17.6;431.4;1170.6
feb-25;19;19/2/2025;Hábil;Miércoles;2152.2;16092.6;22.1;452.8;1176.1
feb-25;20;20/2/2025;Hábil;Jueves;2216.7;18510.7;26.3;467.0;1233.6
feb-25;21;21/2/2025;Hábil;Viernes;2212.2;21490.8;28.6;477.2;1217.6
feb-25;22;22/2/2025;No Hábil;Sábado;2101.4;20046.4;25.8;429.2;1145.5
feb-25;23;23/2/2025;No Hábil;Domingo;1974.9;19264.5;27.2;386.3;1062.9
feb-25;24;24/2/2025;Hábil;Lunes;2093.6;19876.8;24.1;447.5;1119.1
feb-25;25;25/2/2025;Hábil;Martes;2228.6;18431.9;24.3;459.7;1239.4
feb-25;26;26/2/2025;Hábil;Miércoles;2203.0;17959.5;23.7;459.4;1218.9
feb-25;27;27/2/2025;Hábil;Jueves;2187.2;17525.7;25.1;467.1;1189.0
feb-25;28;28/2/2025;Hábil;Viernes;2181.9;18244.5;25.4;464.0;1187.9
mar-25;1;1/3/2025;No Hábil;Sábado;2044.6;16276.3;24.6;421.1;1094.9
mar-25;2;2/3/2025;No Hábil;Domingo;1875.9;14603.1;22.8;363.1;984.4
mar-25;3;3/3/2025;No Hábil;Lunes;1831.9;15045.9;23.0;365.4;938.6
mar-25;4;4/3/2025;No Hábil;Martes;1862.8;16172.7;24.4;384.6;937.2
mar-25;5;5/3/2025;Hábil;Miércoles;2026.7;20616.1;29.1;439.1;1048.5
mar-25;6;6/3/2025;Hábil;Jueves;2181.6;22115.4;29.4;481.8;1163.3
mar-25;7;7/3/2025;Hábil;Viernes;2176.7;22019.0;29.4;490.9;1144.9
mar-25;8;8/3/2025;No Hábil;Sábado;1992.7;14538.7;19.4;403.8;1056.1
mar-25;9;9/3/2025;No Hábil;Domingo;1824.7;11695.8;17.2;358.6;928.0
mar-25;10;10/3/2025;Hábil;Lunes;2018.1;13222.1;19.0;413.2;1063.7
mar-25;11;11/3/2025;Hábil;Martes;2142.3;13829.7;18.7;443.3;1098.1
mar-25;12;12/3/2025;Hábil;Miércoles;2099.3;13363.1;17.7;446.3;1105.8
mar-25;13;13/3/2025;Hábil;Jueves;2084.0;12920.7;16.5;404.4;1134.6
mar-25;14;14/3/2025;Hábil;Viernes;2128.9;12901.2;17.6;445.2;1145.2
mar-25;15;15/3/2025;No Hábil;Sábado;2031.0;12069.9;19.8;408.6;1089.3
mar-25;16;16/3/2025;No Hábil;Domingo;1894.5;11699.7;21.0;368.8;998.1
mar-25;17;17/3/2025;Hábil;Lunes;2106.5;14195.6;23.0;441.8;1131.0
mar-25;18;18/3/2025;Hábil;Martes;2188.3;15635.8;23.7;469.4;1182.7
mar-25;19;19/3/2025;Hábil;Miércoles;2230.4;16612.8;24.6;473.0;1215.2
mar-25;20;20/3/2025;Hábil;Jueves;2223.9;17169.6;25.2;479.6;1199.1
mar-25;21;21/3/2025;Hábil;Viernes;2209.9;17097.5;25.6;473.2;1195.7
mar-25;22;22/3/2025;No Hábil;Sábado;2029.0;14729.1;24.0;417.0;1085.6
mar-25;23;23/3/2025;No Hábil;Domingo;1866.1;12255.6;20.6;360.1;977.3
mar-25;24;24/3/2025;No Hábil;Lunes;1812.9;12248.8;20.9;371.1;917.4
mar-25;25;25/3/2025;Hábil;Martes;2019.5;13323.4;19.9;428.3;1064.9
mar-25;26;26/3/2025;Hábil;Miércoles;2149.9;13928.3;21.2;447.7;1183.4
